ROI,Name
1,LH_V1
2,LH_MST
3,LH_V6
4,LH_V2
5,LH_V3
6,LH_V4
7,LH_V8
8,LH_4
9,LH_3b
10,LH_FEF
11,LH_PEF
12,LH_55b
13,LH_V3A
14,LH_RSC
15,LH_POS2
16,LH_V7
17,LH_IPS1
18,LH_FFC
19,LH_V3B
20,LH_LO1
21,LH_LO2
22,LH_PIT
23,LH_MT
24,LH_A1
25,LH_PSL
26,LH_SFL
27,LH_PCV
28,LH_STV
29,LH_7Pm
30,LH_7m
31,LH_POS1
32,LH_23d
33,LH_v23ab
34,LH_d23ab
35,LH_31pv
36,LH_5m
37,LH_5mv
38,LH_23c
39,LH_5L
40,LH_24dd
41,LH_24dv
42,LH_7AL
43,LH_SCEF
44,LH_6ma
45,LH_7Am
46,LH_7Pl
47,LH_7PC
48,LH_LIPv
49,LH_VIP
50,LH_MIP
51,LH_1
52,LH_2
53,LH_3a
54,LH_6d
55,LH_6mp
56,LH_6v
57,LH_p24pr
58,LH_33pr
59,LH_a24pr
60,LH_p32pr
61,LH_a24
62,LH_d32
63,LH_8BM
64,LH_p32
65,LH_10r
66,LH_47m
67,LH_8Av
68,LH_8Ad
69,LH_9m
70,LH_8BL
71,LH_9p
72,LH_10d
73,LH_8C
74,LH_44
75,LH_45
76,LH_47l
77,LH_a47r
78,LH_6r
79,LH_IFJa
80,LH_IFJp
81,LH_IFSp
82,LH_IFSa
83,LH_p9-46v
84,LH_46
85,LH_a9-46v
86,LH_9-46d
87,LH_9a
88,LH_10v
89,LH_a10p
90,LH_10pp
91,LH_11l
92,LH_13l
93,LH_OFC
94,LH_47s
95,LH_LIPd
96,LH_6a
97,LH_i6-8
98,LH_s6-8
99,LH_43
100,LH_OP4
101,LH_OP1
102,LH_OP2-3
103,LH_52
104,LH_RI
105,LH_PFcm
106,LH_PoI2
107,LH_TA2
108,LH_FOP4
109,LH_MI
110,LH_Pir
111,LH_AVI
112,LH_AAIC
113,LH_FOP1
114,LH_FOP3
115,LH_FOP2
116,LH_PFt
117,LH_AIP
118,LH_EC
119,LH_PreS
120,LH_H
121,LH_ProS
122,LH_PeEc
123,LH_STGa
124,LH_PBelt
125,LH_A5
126,LH_PHA1
127,LH_PHA3
128,LH_STSda
129,LH_STSdp
130,LH_STSvp
131,LH_TGd
132,LH_TE1a
133,LH_TE1p
134,LH_TE2a
135,LH_TF
136,LH_TE2p
137,LH_PHT
138,LH_PH
139,LH_TPOJ1
140,LH_TPOJ2
141,LH_TPOJ3
142,LH_DVT
143,LH_PGp
144,LH_IP2
145,LH_IP1
146,LH_IP0
147,LH_PFop
148,LH_PF
149,LH_PFm
