Region,Canonical Network
1,Visual
2,Visual
3,Visual
4,Visual
5,Visual
6,Visual
7,Visual
8,Visual
9,Visual
10,Somatomotor
11,Somatomotor
12,Somatomotor
13,Somatomotor
14,Somatomotor
15,Somatomotor
16,Dorsal Attention
17,Dorsal Attention
18,Dorsal Attention
19,Dorsal Attention
20,Dorsal Attention
21,Dorsal Attention
22,Dorsal Attention
23,Dorsal Attention
24,Ventral Attention
25,Ventral Attention
26,Ventral Attention
27,Ventral Attention
28,Ventral Attention
29,Ventral Attention
30,Ventral Attention
31,Limbic
32,Limbic
33,Limbic
34,Frontoparietal Control
35,Frontoparietal Control
36,Frontoparietal Control
37,Frontoparietal Control
38,Default Mode
39,Default Mode
40,Default Mode
41,Default Mode
42,Default Mode
43,Default Mode
44,Default Mode
45,Default Mode
46,Default Mode
47,Default Mode
48,Default Mode
49,Default Mode
50,Default Mode
51,Visual
52,Visual
53,Visual
54,Visual
55,Visual
56,Visual
57,Visual
58,Visual
59,Somatomotor
60,Somatomotor
61,Somatomotor
62,Somatomotor
63,Somatomotor
64,Somatomotor
65,Somatomotor
66,Somatomotor
67,Dorsal Attention
68,Dorsal Attention
69,Dorsal Attention
70,Dorsal Attention
71,Dorsal Attention
72,Dorsal Attention
73,Dorsal Attention
74,Ventral Attention
75,Ventral Attention
76,Ventral Attention
77,Ventral Attention
78,Ventral Attention
79,Limbic
80,Limbic
81,Frontoparietal Control
82,Frontoparietal Control
83,Frontoparietal Control
84,Frontoparietal Control
85,Frontoparietal Control
86,Frontoparietal Control
87,Frontoparietal Control
88,Frontoparietal Control
89,Frontoparietal Control
90,Default Mode
91,Default Mode
92,Default Mode
93,Default Mode
94,Default Mode
95,Default Mode
96,Default Mode
97,Default Mode
98,Default Mode
99,Default Mode
100,Default Mode
